Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Arrives Before Christmas (product.metafields.custom.arrives_before_christmas),info_meta_text (product.metafields.custom.info_meta_text),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Recommended age group (product.metafields.shopify.recommended-age-group),Riding toy propulsion type (product.metafields.shopify.riding-toy-propulsion-type),Toy/Game material (product.metafields.shopify.toy-game-material),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Available Qty
christmas-gift-electric-ride-on-toy-car-for-kids-12v-battery-powered-with-remote-control,Christmas Gift Electric Ride-On Toy Car for Kids - 12V Battery Powered with Remote Control,"The X-Mas Ride On Kids Truck is the perfect toy car for kids during the holiday season. With its sleek design and exciting features, it is sure to bring joy and adventure to children of all ages.<br><br>This ride-on truck offers two modes of play. In the parental remote control mode, parents can take control and enjoy the ride with their little ones. In the battery-operated mode, children can operate the truck themselves using the pedal for acceleration and the steering wheel for navigation. Please note that this <a href=""https://www.magiccars.com"">ride-on</a> truck comes in two boxes, so please wait patiently for both boxes to be delivered before assembly.<br><br>One of the most attractive and fun functions of this ride-on truck is its ability to be connected to devices such as MP3 players, AUX inputs, USB ports, and TF card slots. This means that children can enjoy their favorite music or stories while cruising around in style.<br><br>Safety is a top priority with this ride-on truck. It features a soft start function, ensuring a smooth and gradual acceleration. The four wear-resistant wheels are made of superior PP materials, providing durability and eliminating the need for inflating tires. This guarantees a safer and smoother driving experience for kids.<br><br>The X-Mas Ride On Kids Truck also boasts a cool and realistic appearance. With bright front and rear lights and double doors with magnetic locks, children will feel like they are driving a real truck. This attention to detail creates an authentic and immersive driving experience.<br><br>This ride-on truck is not only fun but also makes for a perfect gift for children. Whether it's for a birthday or Christmas, this scientifically designed toy car will bring smiles and laughter to any child's face.<br><br>Key Features:<br>- Two modes of play: parental remote control mode and battery-operated mode<br>- Forward and reverse functions with three adjustable speeds<br>- MP3 player, AUX input, USB port, and TF card slot for music and stories<br>- Soft start function for a smooth and gradual acceleration<br>- Four wear-resistant wheels made of superior PP materials<br>- Bright front and rear lights for a realistic driving experience<br>- Double doors with magnetic locks<br>- Overall dimension: 46.5""×31""×29""(L×W×H)<br>- Recommended for ages: 3-7 years old<br>- Assembly required<br><br>Specifications:<br>- Brand: Unbranded<br>- Year: 2022<br>- Theme: Cars<br>- Age Level: 3-4 Years, 4-7<br>- Character Family: Toy Story<br>- Color: White<br><br>Get ready for a thrilling and adventurous ride with the X-Mas Ride On Kids Truck. Order now and make this holiday season one to remember!",Magic Cars,,"",12v Ride On Toy,true,Warranty,None - $0,,Custom license plate,None - $0,,,,,234781391347-none-none-nan,38555.986479318,shopify,deny,manual,598.88,778.54,true,true,'315584591043,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l500_cf86f1f2-7469-4029-bce6-110c5d81b77d.png?v=1694748618,1,"",false,,,,,,315584591043,New,,,B72,,,,,,,,,,,,,,,,,lb,,398.88,active,10
christmas-gift-electric-ride-on-toy-car-for-kids-12v-battery-powered-with-remote-control,,,,,,,,,None - $0,,,Custom license plate - $39,,,,,234781391347-none-customlicenseplate-nan,38555.986479318,shopify,deny,manual,637.88,829.24,true,true,'315584591050,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l1600_950bb713-e831-4794-9d27-ce6e5a233362.jpg?v=1694748618,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,437.88,,
christmas-gift-electric-ride-on-toy-car-for-kids-12v-battery-powered-with-remote-control,,,,,,,,,1 year - $89,,,None - $0,,,,,234781391347-1year-none-nan,38555.986479318,shopify,deny,manual,687.88,894.24,true,true,'315584591067,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l1600_b8a2df74-6906-4896-a67d-363080b6e664.jpg?v=1694748618,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,487.88,,
christmas-gift-electric-ride-on-toy-car-for-kids-12v-battery-powered-with-remote-control,,,,,,,,,1 year - $89,,,Custom license plate - $39,,,,,234781391347-1year-customlicenseplate-nan,38555.986479318,shopify,deny,manual,726.88,944.94,true,true,'315584591074,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l1600_caec825f-9f2c-4fbf-b52e-8a10556386eb.jpg?v=1694748618,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,526.88,,
christmas-gift-electric-ride-on-toy-car-for-kids-12v-battery-powered-with-remote-control,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l1600_2d958d03-9672-49bf-a26e-96b89c9b1c71.jpg?v=1694748618,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",
christmas-gift-electric-ride-on-toy-car-for-kids-12v-battery-powered-with-remote-control,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l1600_dd4fb933-2259-4e5e-8e29-0e25200b648d.jpg?v=1694748618,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",
christmas-gift-electric-ride-on-toy-car-for-kids-12v-battery-powered-with-remote-control,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l1600_26c8cb10-cb16-4aff-ac6a-00ac3dee6412.jpg?v=1694748618,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",
christmas-gift-electric-ride-on-toy-car-for-kids-12v-battery-powered-with-remote-control,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l1600_dd1c3fee-5725-472c-9375-f51fc99b84f0.jpg?v=1694748618,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",
christmas-gift-electric-ride-on-toy-car-for-kids-12v-battery-powered-with-remote-control,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l1600_9e68b4f9-5106-427e-9d66-5cf5af0f991c.jpg?v=1694748618,9,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",
2-seater-off-road-ride-on-truck-with-remote-control-and-slow-start,2 Seater Off-Road Ride-On Truck with Remote Control and Slow Start,"<body>


	<title>The 2 Seat Ride on Truck 12V Off-Road Ride on Car w/ Remote Control Slow Start Spring Suspension LED Lights Music 3 Speeds Battery Powered Electric Vehicle for Two Kids-White</title>


	<p>Introducing the 2 Seat Ride on Truck, a thrilling adventure waiting to happen! Designed with two seats and safety belts, this 12V ride on truck is perfect for two kids ages 3 and up to embark on an exciting journey together. With its sleek white color and LED lights, this ride on truck is not only stylish but also provides a realistic driving experience.</p>
	<p>Get ready for dual way driving modes! Kids can take control of this battery-powered car by using the speed switch and pedal, giving them an authentic driving experience. But that's not all - parents can also join in on the fun by operating the ride on truck with the remote control. The remote control features three changeable speed modes and an emergency button, ensuring the safety of your little adventurers.</p>
	<p>Safety is our top priority. The slow start and stop technology prevents any unintended acceleration or abrupt braking, keeping your little ones safe and secure. The ride on truck is equipped with safety belts, double lockable doors, and a safety handrail on the passenger side, providing extra security during the ride.</p>
	<p>This 2 seater ride on truck is not only durable but also designed with your child's comfort in mind. Made of sturdy iron and PP material, it can withstand a weight capacity of up to 110 lbs. The four wheels have excellent slip-resistant and shock absorption performance, making it suitable for various terrains such as cement, asphalt roads, and even wood floors. Plus, the additional wheel and hood can be opened as storage bins for toys, adding an extra element of fun.</p>
	<p>But wait, there's more! This 2-seater ride on truck comes with a story-telling function and music playing, making it the perfect gift for birthdays or Christmas. Your little boys and girls will be thrilled to take an adventurous journey with this 12V ride on truck, which can reach speeds of 3-6 km/h. The dimensions of the truck are 48.5 x 31.5 x 31.5 inches, providing ample space for your little ones to explore.</p>
	<p>Get ready for the ultimate outdoor fun with the 2 Seat Ride on Truck 12V Off-Road Ride on Car. Please note that this ride on truck will be shipped in two boxes - one for the wheels and one for the truck itself. Patience is key as you wait for both boxes to be delivered before assembly.</p>

	<h3>Product Specifications:</h3>
	<ul>
		<li>Available Color: White</li>
		<li>Product Dimension: 48.5 x 31.5 x 31.5 inches</li>
		<li>Volts: 12V</li>
		<li>Speed: 3-6 km/h</li>
		<li>Net Weight: 48 lbs</li>
		<li>Weight Capacity: 66 lbs</li>
		<li>Suitable Age: 3+</li>
	</ul>

</body>",Magic Cars,,"",2 Seater Ride On Toy,false,Warranty,None - $0,,Custom license plate,None - $0,,,,,275813039544-none-none-nan,52.979588816,shopify,deny,manual,598.81,778.45,true,true,'315584591005,https://cdn.shopify.com/s/files/1/2245/9711/products/s-l500_fb0128a1-b7f0-4375-86ee-42b790e8864d.png?v=1694748599,1,"",false,,,,,,315584591005,New,,,B72,,,,,,,,,,,,,,,,,lb,,398.81,active,0
